id,code,name,game_url,game_image,points_price,description,created_by,updated_by,created_at,updated_at,deleted_at
,1,The Sorcerer,http://showcase.codethislab.com/games/the_sorcerer/,img_sorcerer.jpg,300,The Sorcerer is a HTML5 puzzle game freely inspired to Zuma gameplay. The game contains 3 different progressive levels.,,,,,
,2,Jumper Frog,http://showcase.codethislab.com/games/jumper_frog/,img_jumper.jpg,300,Jumper Frog is a HTML5 Game. Enjoy this colorful version of the classic game Frogger.<br/>The goal of the game is to guide a frog from the bottom of the screen to the top into one of the fives available coves,,,,,
,3,Galactic War,http://showcase.codethislab.com/games/galactic_war/,img_galactic.jpg,300,"Galactic War is a HTML5 arcade game. Your goal is to survive as long as possible, shooting enemy starships.",,,,,
,4,Indiara and the Skull Gold,http://codecanyon.net/item/indiara-and-the-skull-gold/full_screen_preview/5569360,img_indiara.jpg,300,"The adventure is starting! Meet and play with Indiara, a girl who loves to collect ancient artifacts. Indiara now have to get 8 gold skulls that are in a cave full of traps! And what’s worse, has a gigantic rock that pursues Indiara! You will escape the cave? ",,,,,
,5,Bubble Shooter,http://showcase.codethislab.com/games/bubble_shooter/,img_bubble.jpg,300,Bubble shooter is a puzzle HTML5 game . The goal of the game is to clear all the bubbles from the level avoiding any bubble crossing the bottom line.,,,,,
,6,Panda Love,http://codecanyon.net/item/panda-love/full_screen_preview/8539431,img_panda.png,300,Panda Love is an adventure platformer with pixel art.,,,,,
,7,Math Plus Puzzle,http://codecanyon.net/item/math-plus-puzzle-/full_screen_preview/11025385,img_math_puzzle.png,300,"Choose the right stage for you , then try to do a quick addition to find the target number , do that as soon as you can before time ends . High score records will tell you always how far you can go . have Fun !!GOOD LUCK!! MATH PLUS is the only Arcade/Puzzle math game since Tetris to be inducted into Computer Gaming World Hall of Fame. Play it yourself to find out why..!",,,,,
,8,Word Search Game,http://codecanyon.net/item/word-search-game/full_screen_preview/2708856,img_word_search.png,300,Search for the correct word!,,,,,
