35,35,1,24,35,Time,,1,,https://www.youtube.com/embed/NjJFJ7ge_qk?origin=https://www.khanacademy.com,seed,1,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
36,36,1,12,36,Data And Graphs,,1,,https://www.youtube.com/embed/AtiOjlyOQf4?origin=https://www.khanacademy.com,seed,1,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
37,37,1,14,37,Measurement,,1,,https://www.youtube.com/embed/SQmyTmO8OKw?origin=https://www.khanacademy.com,seed,1,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
38,38,1,10,38,Fractions,,1,,No content available.,seed,2,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
39,39,1,20,39,Probability And Statistics,,1,,No content available.,seed,2,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
40,40,1,16,40,Multiplication,,1,,https://www.youtube.com/embed/mvOkMYCygps,seed,1,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
41,41,1,7,41,Division,,1,,https://www.youtube.com/embed/QI6x0KNxiCs,seed,1,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
42,42,1,17,42,Numbers And Comparing,,1,,No content available.,seed,2,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
43,43,1,25,43,Place Values,,1,,No content available.,seed,2,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
44,44,1,1,44,Addition,,1,,No content available.,seed,2,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
45,45,1,23,45,Subtraction,,1,,No content available.,seed,2,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
46,46,1,16,46,Multiplication,,1,,https://www.youtube.com/embed/vfMx9-rJXuo,seed,1,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
47,47,1,7,47,Division,,1,,https://www.youtube.com/embed/MTzTqvzWzm8,seed,1,Enabled,1,1,NULL,1/13/2017 5:53,1/13/2017 5:53
